Author,Total Citations
"He, KM",336843
"Sun, J",271645
"Ren, SQ",223321
"Girshick, R",219462
"Zhang, XY",194403
"Dollár, P",115779
"Breiman, L",108530
"Shazeer, N",104699
"Szegedy, C",97439
"Parmar, N",96326
"Uszkoreit, J",95420
"Vaswani, A",95332
"Jones, L",94386
"Deng, J",94176
"Polosukhin, I",93451
"Gomez, AN",91998
"Kaiser, L",91998
"Bengio, Y",91403
"Darrell, T",90609
"Zhang, L",89317
"Li, FF",88497
"Schmidhuber, J",86678
"Belongie, S",86575
"Hinton, G",82402
"Lin, TY",79578
"Hochreiter, S",78530
"Liu, W",78017
"Malik, J",77359
"van der Maaten, L",77027
"Bovik, AC",76789
"Wang, Z",74537
"Zisserman, A",72606
"Liu, Z",72048
"Wang, XG",71266
"Berg, AC",69405
"Van Gool, L",68993
"Lee, K",67649
"Sutskever, I",65343
"Courville, A",64148
"Agarwal, S",62340
"Li, LJ",61648
"Deb, K",61637
"Erhan, D",59847
"Yang, MH",59759
"Su, H",58819
"Li, K",58815
"Simoncelli, EP",57226
"Anguelov, D",56494
"Socher, R",55590
"Reed, S",54881
"Guestrin, C",54596
"Salakhutdinov, R",54579
"Sheikh, HR",54367
"Tang, XO",54281
"Toutanova, K",54164
"Perona, P",54058
"Chang, MW",53765
"Lowe, DG",52782
"Efros, AA",52682
"Devlin, J",52415
"Vanhoucke, V",51857
"Le, QV",51692
"Liu, Y",51585
"Zitnick, CL",51341
"Chen, LC",51115
"Dong, W",51026
"Ramanan, D",50606
"Farhadi, A",50194
"Schmid, C",48524
"Lin, CJ",47941
"Mirza, M",47701
"Khosla, A",46985
"Weinberger, KQ",46157
"Xu, B",45819
"Ozair, S",44964
"Fei-Fei, L",44331
"Warde-Farley, D",43989
"Ioffe, S",43889
"Redmon, J",43206
"Welling, M",43194
"VAPNIK, V",42691
"Maire, M",42628
"Goodfellow, IJ",42608
"CORTES, C",42284
"Zhu, JY",42027
"Hays, J",42019
"Mohamed, S",41776
"Pouget-Abadie, J",41607
"Fergus, R",41556
"Jia, JY",41480
"Karpathy, A",41434
"Rezende, DJ",41355
"Yang, Y",40785
"Hu, H",40753
"Li, Y",40479
"Huang, GB",39687
"Pratap, A",39600
"Meyarivan, T",39600
"Isola, P",39578
"Parikh, D",39171
"Huang, G",39106
"Shlens, J",38794
"Zhang, Z",38083
"Herrera, F",37727
"Kingma, DP",37724
"Chen, TQ",37227
"Cao, Y",37082
"Shi, JP",36862
"Huang, ZH",36532
"Le, Q",36427
"Torralba, A",35966
"Hu, J",35707
"Srivastava, N",35610
"Loy, CC",35134
"Tao, DC",35083
"Leskovec, J",35072
"Tan, MX",34899
"Howard, A",34734
"Li, H",34384
"Shen, L",34338
"Zuo, WM",34289
"Krause, J",34167
"Lin, S",34159
"Batra, D",34120
"Krizhevsky, A",33801
"Donahue, J",33581
"Abbeel, P",33218
"Satheesh, S",32919
"Xie, SN",32917
"Bernstein, M",32482
"Jordan, MI",32410
"Vinyals, O",32397
"Russakovsky, O",32033
"Papandreou, G",31903
"Zhang, Y",31472
"Chawla, NV",31196
"Lee, SI",31127
"Ma, S",31098
"Sun, G",30817
"Lundberg, SM",30767
"Shelhamer, E",30455
"Zhang, H",30288
"Fu, CY",30237
"Park, J",30037
"Zhu, YK",30024
"Bowyer, KW",30015
"Mirjalili, S",30008
"Divvala, S",29572
"Wang, JD",29505
"Wang, ZH",29445
"Torr, PHS",29326
"Long, J",29146
"Singh, S",28829
"Tuytelaars, T",28754
"Guo, BN",28266
"Wu, J",28231
"Yu, PS",28184
"Shen, CH",28005
"Sandler, M",27675
"Urtasun, R",27630
"Zhang, ZY",27614
"Wang, H",27592
"Lin, YT",27438
"Hariharan, B",27410
"Chang, CC",27374
"Jain, AK",27298
"Pietikäinen, M",27161
"Ma, Y",27089
"Matas, J",26968
"Hall, LO",26363
"Wei, YX",26279
"Zhou, ZH",26265
"Qi, CR",26233
"Rabinovich, A",26212
"Kweon, IS",26176
"Murphy, K",26166
"Adam, H",25866
"Wu, Y",25792
"Levine, S",25658
"Dong, C",25312
"Geiger, A",25083
"Yuille, AL",24939
"Kegelmeyer, WP",24655
"Wei, YC",24637
"Vasudevan, V",24616
"Gupta, A",24585
"Vedantam, R",24554
"Fua, P",24440
"Saenko, K",24387
"Yan, SC",24340
"Zhang, K",24322
"Tian, Q",24275
"Yang, Q",24203
"Dhariwal, P",24161
"Jia, YQ",24161
"Liu, J",24020
"Luo, P",23987
"Guibas, LJ",23860
"Zhao, HS",23832
"Zhu, ML",23707
"Suganthan, PN",23701
"Schiele, B",23593
"Smola, A",23527
"Schölkopf, B",23366
"Zhang, J",23167
"Das, A",23120
"Black, MJ",23024
"Huang, TS",22915
"Schroff, F",22867
"Savarese, S",22801
"Lee, JY",22655
"Radford, A",22632
"Lu, HC",22541
"Feng, JS",22452
"Wang, L",22347
"Li, X",22229
"Chen, M",22115
"Pan, SJ",22049
"Sermanet, P",21959
"Kirillov, A",21894
"Wojna, Z",21874
"Cogswell, M",21641
"Selvaraju, RR",21641
"Zhang, D",21521
"Vedaldi, A",21473
"Woo, SH",21339
"Askell, A",21195
"Wang, J",21124
"Zheng, L",21102
"Park, T",21089
"Chen, H",20959
"Li, B",20938
"Chen, XL",20838
"Qiao, Y",20824
"Timofte, R",20712
"Kokkinos, I",20678
"Han, JW",20312
"Wang, JM",20203
"Yang, QA",20164
"Wang, Y",20141
"Cipolla, R",20094
"Li, W",20019
"Bay, H",19992
"Liu, ZY",19772
"Brox, T",19647
"Long, MS",19642
"Kendall, A",19628
"Shi, YH",19627
"Kim, J",19442
"Kriegman, DJ",19432
"Vapnik, V",19420
"Winn, J",19415
"Danelljan, M",19393
"Li, SZ",19365
"Zhang, QF",19336
"Ojala, T",19308
"Weston, J",19308
"Lee, KM",19267
"Khan, FS",19256
"Cremers, D",19196
"Zhmoginov, A",19154
"Liu, H",19081
"Cheng, MM",19079
"Amodei, D",19056
"Bottou, L",19034
"Zitzler, E",19028
"Xu, ZS",18985
"Burges, CJC",18756
"Dai, JF",18728
"Wang, YH",18704
"Xiang, T",18681
"Pang, RM",18637
