Source,Target,CoAuthored
"Liu, ZY","Sun, MS",8
"Sun, MS","Liu, ZY",8
"Chung, JS","Zisserman, A",6
"Zisserman, A","Chung, JS",6
"Cambria, E","Poria, S",6
"Poria, S","Cambria, E",6
"Hazarika, D","Poria, S",5
"Liu, ZY","Han, X",5
"Lee, K","Chang, MW",5
"Hazarika, D","Cambria, E",5
"Han, X","Liu, ZY",5
"Chang, MW","Lee, K",5
"Poria, S","Hazarika, D",5
"Cambria, E","Hazarika, D",5
"Chang, MW","Toutanova, K",4
"Qin, T","Liu, TY",4
"Toutanova, K","Lee, K",4
"Toutanova, K","Chang, MW",4
"Liu, TY","Qin, T",4
"Lee, K","Toutanova, K",4
"Han, X","Sun, MS",4
"Sun, MS","Han, X",4
"Elsen, E","Simonyan, K",3
"Manning, CD","Zhang, YH",3
"Liu, ZY","Yao, Y",3
"Khudanpur, S","Povey, D",3
"Hazarika, D","Mihalcea, R",3
"Gers, FA","Schmidhuber, J",3
"Liu, ZY","Liu, Y",3
"Schmidhuber, J","Graves, A",3
"Devlin, J","Lee, K",3
"Schmidhuber, J","Gers, FA",3
"Mihalcea, R","Poria, S",3
"Poria, S","Mihalcea, R",3
"Pun, T","Soleymani, M",3
"Li, H","Lu, ZD",3
"Lu, ZD","Li, H",3
"Auli, M","Baevski, A",3
"Auli, M","Fan, A",3
"Auli, M","Grangier, D",3
"Auli, M","Edunov, S",3
"Roberts, A","Narang, S",3
"Roberts, A","Shazeer, N",3
"Roberts, A","Raffel, C",3
"Raffel, C","Roberts, A",3
"Liu, ZY","Lin, YK",3
"Bisk, Y","Zellers, R",3
"Povey, D","Khudanpur, S",3
"Yao, Y","Liu, ZY",3
"Soleymani, M","Pantic, M",3
"Soleymani, M","Pun, T",3
"Zellers, R","Bisk, Y",3
"Yao, Y","Han, X",3
"Lin, YK","Liu, ZY",3
"Lin, YK","Sun, MS",3
"Poria, S","Majumder, N",3
"Gurevych, I","Reimers, N",3
"Devlin, J","Petrov, S",3
"Grangier, D","Auli, M",3
"Liu, YH","Zettlemoyer, L",3
"Lee, K","Devlin, J",3
"Simonyan, K","Elsen, E",3
"Xiong, CM","Socher, R",3
"Xiong, CM","McCann, B",3
"McCann, B","Socher, R",3
"McCann, B","Xiong, CM",3
"Petrov, S","Devlin, J",3
"Galley, M","Brockett, C",3
"Chang, MW","Yih, WT",3
"Galley, M","Gao, JF",3
"Galley, M","Dolan, B",3
"Brockett, C","Galley, M",3
"Brockett, C","Gao, JF",3
"Brockett, C","Dolan, B",3
"Dolan, B","Galley, M",3
"Dolan, B","Brockett, C",3
"Dolan, B","Gao, JF",3
"Graves, A","Schmidhuber, J",3
"Gao, JF","Dolan, B",3
"Liu, ZY","Tang, J",3
"Sun, MS","Lin, YK",3
"Cambria, E","Mihalcea, R",3
"Reimers, N","Gurevych, I",3
"Narang, S","Roberts, A",3
"Bengio, Y","Courville, A",3
"Pantic, M","Soleymani, M",3
"Lu, BL","Zheng, WL",3
"Zheng, WL","Lu, BL",3
"Zhao, J","Liu, K",3
"Liu, K","Zhao, J",3
"Liu, Y","Liu, ZY",3
"Tan, X","Qin, T",3
"Tang, J","Liu, X",3
"Gao, JF","Galley, M",3
"Tan, X","Liu, TY",3
"Tang, J","Liu, ZY",3
"Gao, JF","Brockett, C",3
"Qin, T","Tan, X",3
"Zhang, Y","Wu, YH",3
"Liu, X","Tang, J",3
"Liu, ZY","Zhang, ZY",3
"Liu, TY","Tan, X",3
