Source,Target,CoAuthored
"Zhang, XY","Sun, J",16
"Sun, J","Zhang, XY",16
"Girshick, R","He, KM",15
"He, KM","Girshick, R",15
"Girshick, R","Dollár, P",12
"He, KM","Sun, J",12
"Sun, J","He, KM",12
"Dollár, P","Girshick, R",12
"Parikh, D","Batra, D",10
"Timofte, R","Van Gool, L",10
"Dollár, P","He, KM",10
"Van Gool, L","Timofte, R",10
"Batra, D","Parikh, D",10
"He, KM","Dollár, P",10
"Zuo, WM","Zhang, L",9
"Yan, SC","Feng, JS",9
"Zhang, L","Zuo, WM",9
"Feng, JS","Yan, SC",9
"Zuo, WM","Zhang, K",8
"Zhang, K","Zhang, L",8
"Zhang, L","Zhang, K",8
"Zhang, L","Zhang, D",8
"Zhang, D","Zhang, L",8
"Yu, J","Tao, DC",8
"Shi, GM","Dong, WS",8
"Dong, WS","Shi, GM",8
"Tao, DC","Yu, J",8
"Herrera, F","García, S",8
"García, S","Herrera, F",8
"Zhang, K","Zuo, WM",8
"Dong, C","Wang, XT",7
"Egiazarian, K","Katkovnik, V",7
"Loy, CC","Dong, C",7
"Dong, C","Loy, CC",7
"Katkovnik, V","Egiazarian, K",7
"Pan, JS","Yang, MH",7
"Wang, XT","Dong, C",7
"Yang, MH","Pan, JS",7
"Figueiredo, MAT","Bioucas-Dias, JM",6
"Cao, Y","Hu, H",6
"Bioucas-Dias, JM","Figueiredo, MAT",6
"Foi, A","Egiazarian, K",6
"Fernández, A","Herrera, F",6
"Hu, H","Lin, S",6
"Yuan, L","Chen, YP",6
"Yuan, L","Dai, XY",6
"Hu, H","Cao, Y",6
"Lin, S","Hu, H",6
"Zhang, Z","Hu, H",6
"Hu, H","Zhang, Z",6
"Donahue, J","Darrell, T",6
"Herrera, F","Fernández, A",6
"Darrell, T","Donahue, J",6
"Egiazarian, K","Foi, A",6
"Chen, YP","Yuan, L",6
"Dai, XY","Yuan, L",6
"Courville, A","Bengio, Y",6
"Bengio, Y","Courville, A",6
"Dong, WS","Zhang, L",5
"Shi, GM","Zhang, L",5
"Shlens, J","Zoph, B",5
"Sun, J","Xu, ZB",5
"Chen, LC","Adam, H",5
"Zhao, HS","Jia, JY",5
"Sivic, J","Zisserman, A",5
"Ding, GG","Han, JG",5
"Wang, XG","Liu, WY",5
"Zhu, YK","Adam, H",5
"Han, JG","Ding, GG",5
"Adam, H","Zhu, YK",5
"Adam, H","Chen, LC",5
"Jia, JY","Zhao, HS",5
"Malik, J","Arbeláez, P",5
"He, KM","Zhang, XY",5
"Zisserman, A","Sivic, J",5
"Zhang, K","Timofte, R",5
"Tian, Z","Shen, CH",5
"Shen, CH","Tian, Z",5
"Hsieh, CJ","Zhang, H",5
"Xu, ZB","Sun, J",5
"Wang, XT","Yu, K",5
"Zhang, L","Shi, GM",5
"Zhang, L","Dong, WS",5
"Yu, K","Wang, XT",5
"Yu, K","Dong, C",5
"Zhang, H","Hsieh, CJ",5
"Mikolajczyk, K","Schmid, C",5
"Schmid, C","Mikolajczyk, K",5
"Qiao, Y","Dong, C",5
"Zhang, K","Van Gool, L",5
"Saratchandran, P","Sundararajan, N",5
"Zoph, B","Shlens, J",5
"Zhang, YL","Fu, Y",5
"Fu, Y","Zhang, YL",5
"Arbeláez, P","Malik, J",5
"Katkovnik, V","Foi, A",5
"Foi, A","Katkovnik, V",5
"Tang, XO","Loy, CC",5
"Dong, C","Qiao, Y",5
"Dong, C","Yu, K",5
"Zhou, ZH","Zhang, ML",5
"Torralba, A","Oliva, A",5
"Oliva, A","Torralba, A",5
"Sundararajan, N","Saratchandran, P",5
"Loy, CC","Tang, XO",5
"Van Gool, L","Zhang, K",5
"Timofte, R","Zhang, K",5
"Zhang, Z","Cao, Y",5
"Zhang, XY","He, KM",5
"Rohrbach, M","Darrell, T",5
"Ren, SQ","Sun, J",5
"Darrell, T","Rohrbach, M",5
"Zhang, ML","Zhou, ZH",5
"Ren, SQ","He, KM",5
"Liu, WY","Wang, XG",5
"Cao, Y","Zhang, Z",5
"He, KM","Ren, SQ",5
"Sun, J","Ren, SQ",5
"Mei, T","Pan, YW",4
"Darrell, T","Girshick, R",4
"Liu, MC","Yuan, L",4
"Van Gool, L","Dai, DX",4
"Liu, MC","Dai, XY",4
"Gao, JF","Zhang, L",4
"Tian, YP","Zhang, YL",4
"Yu, K","Loy, CC",4
"He, KM","Chen, XL",4
"Dai, XY","Liu, MC",4
"Xu, C","Wang, YH",4
"Zhou, BL","Torralba, A",4
"Mei, T","Yao, T",4
"Dai, XY","Chen, YP",4
"Fernández, A","Galar, M",4
"Yuan, L","Liu, MC",4
"Pleiss, G","Weinberger, KQ",4
"Yuan, L","Zhang, L",4
"Le, Q","Zoph, B",4
"Ancuti, CO","Ancuti, C",4
"Han, K","Wang, YH",4
"Yuan, L","Chen, DD",4
"Rezende, DJ","Mohamed, S",4
"He, KM","Dai, JF",4
"Ancuti, C","Ancuti, CO",4
"Galar, M","Fernández, A",4
"Galar, M","Herrera, F",4
"He, KM","Wu, YX",4
"van den Hengel, A","Shen, CH",4
"Wang, XT","Loy, CC",4
"Chen, YP","Dai, XY",4
"Chen, YP","Yan, SC",4
"Zhang, L","Wu, XL",4
"Unser, M","Blu, T",4
"Douze, M","Jégou, H",4
"Chen, YP","Feng, JS",4
"Li, LJ","Li, FF",4
"Jégou, H","Touvron, H",4
"Ding, XH","Han, JG",4
"Ding, XH","Ding, GG",4
"Narasimhan, SG","Nayar, SK",4
"Parikh, D","Lu, JS",4
"Han, JG","Ding, XH",4
"Zhang, L","Gao, JF",4
"Jégou, H","Douze, M",4
"Ding, GG","Ding, XH",4
"Song, SJ","Huang, G",4
"Nayar, SK","Narasimhan, SG",4
"Hu, RH","Rohrbach, M",4
"Zhang, L","Zhang, PC",4
"Mohamed, S","Rezende, DJ",4
"Kong, T","Li, L",4
"Chen, XL","He, KM",4
"Gao, JF","Zhang, PC",4
"Xie, SN","He, KM",4
"Han, K","Guo, JY",4
"Li, FF","Li, LJ",4
"Liu, ZW","Loy, CC",4
"Qiao, Y","Li, HS",4
"Li, HS","Wang, XG",4
"Wang, YH","Xu, C",4
"Torralba, A","Freeman, WT",4
"Feng, JS","Chen, YP",4
"Smola, AJ","Schölkopf, B",4
"Zitnick, CL","Dollár, P",4
"Cao, XC","Ren, WQ",4
"Fua, P","Lepetit, V",4
"Guo, JY","Han, K",4
"Dong, C","Tang, XO",4
"Feng, JS","Wei, YC",4
"Khan, S","Khan, FS",4
"Vasconcelos, N","Cai, ZW",4
"Li, HS","Qiao, Y",4
"Huang, J","Murphy, K",4
"Cai, ZW","Vasconcelos, N",4
"Loy, CC","Liu, ZW",4
"Yan, JC","Yang, X",4
"Yang, X","Yan, JC",4
"Feng, JS","Cheng, MM",4
"Read, J","Holmes, G",4
"Loy, CC","Wang, XT",4
"Pfahringer, B","Holmes, G",4
"Holmes, G","Read, J",4
"Holmes, G","Pfahringer, B",4
"Loy, CC","Yu, K",4
"Torralba, A","Zhou, BL",4
"Misra, I","Joulin, A",4
"Zhang, L","Yuan, L",4
"Li, HS","Gao, P",4
"Schölkopf, B","Smola, AJ",4
"Zhang, PC","Gao, JF",4
"Wang, YH","Han, K",4
"Wang, YH","Guo, JY",4
"Zhao, Y","Yan, SC",4
"Perronnin, F","Sánchez, J",4
"Sánchez, J","Perronnin, F",4
"Saratchandran, P","Huang, GB",4
"Zhao, Y","Wei, YC",4
"Sundararajan, N","Huang, GB",4
"Meng, DY","Zhao, Q",4
"Cao, Y","Lin, S",4
"Wang, YH","Xu, CJ",4
"Guo, JY","Wang, YH",4
"Liao, HYM","Wang, CY",4
"Ghiasi, G","Lin, TY",4
"Ren, WQ","Cao, XC",4
"Zhao, Q","Meng, DY",4
"Wang, CY","Liao, HYM",4
"Suykens, JAK","Vandewalle, J",4
"Weinberger, KQ","Huang, G",4
"Joulin, A","Misra, I",4
"Vandewalle, J","Suykens, JAK",4
"Lin, S","Zhang, Z",4
"Khan, FS","Khan, S",4
"Perona, P","Fergus, R",4
"Zhang, PC","Yang, JW",4
"Touvron, H","Jégou, H",4
"Li, L","Kong, T",4
"Yan, SC","Wei, YC",4
"Xia, GS","Bai, X",4
"Xia, GS","Ding, J",4
"Huang, G","Song, SJ",4
"Bai, X","Xia, GS",4
"Murphy, K","Huang, J",4
"Nah, S","Lee, KM",4
"Chen, DD","Yuan, L",4
"Bai, X","Liu, WY",4
"Ding, J","Xia, GS",4
"Zoph, B","Le, Q",4
"Dollár, P","Lin, TY",4
"Huang, G","Weinberger, KQ",4
"Vaswani, A","Shlens, J",4
"Huang, G","Liu, Z",4
"Le, QV","Vasudevan, V",4
"Le, QV","Zoph, B",4
"Le, QV","Shlens, J",4
"Ren, SQ","Zhang, XY",4
"Pan, YW","Mei, T",4
"Li, X","Dong, WS",4
"Pan, YW","Yao, T",4
"Yao, T","Mei, T",4
"Zhang, YL","Tian, YP",4
"Girshick, R","Hariharan, B",4
"Yao, T","Pan, YW",4
"Yan, SC","Zhao, Y",4
"Girshick, R","Darrell, T",4
"Chen, LC","Yuille, A",4
"Cubuk, ED","Zoph, B",4
"Wu, YX","He, KM",4
"Wei, YC","Zhao, Y",4
"Dai, JF","He, KM",4
"Sun, J","Dai, JF",4
"Cheng, MM","Feng, JS",4
"Liu, WY","Bai, X",4
"Dong, WS","Li, X",4
"Liu, Z","Huang, G",4
"Dai, JF","Sun, J",4
"Lin, S","Cao, Y",4
"Shi, GM","Li, X",4
"Zoph, B","Le, QV",4
"Shlens, J","Le, QV",4
"Freeman, WT","Weiss, Y",4
"Shlens, J","Vaswani, A",4
"Chen, LC","Zhu, YK",4
"Lu, JS","Parikh, D",4
"Hariharan, B","Girshick, R",4
"Wei, YC","Yan, SC",4
"Wei, YC","Feng, JS",4
"Lepetit, V","Fua, P",4
"Yang, JW","Zhang, PC",4
"Lee, KM","Nah, S",4
"Huang, JB","Ahuja, N",4
"Howard, A","Chen, B",4
"Gao, P","Li, HS",4
"Ahuja, N","Huang, JB",4
"Zoph, B","Cubuk, ED",4
"Zhang, PC","Zhang, L",4
"Girshick, R","Malik, J",4
"Freeman, WT","Torralba, A",4
"Vasudevan, V","Le, QV",4
"Wang, XG","Li, HS",4
"Vlahavas, I","Tsoumakas, G",4
"Chen, H","Tian, Z",4
"Chen, H","Shen, CH",4
"Tsoumakas, G","Vlahavas, I",4
"Jia, JY","Shi, JP",4
"Jia, JY","Shen, XY",4
"Dai, DX","Van Gool, L",4
"Xu, CJ","Wang, YH",4
"Jia, JY","Xu, L",4
"Fergus, R","Perona, P",4
"Kirillov, A","Girshick, R",4
"Kolesnikov, A","Beyer, L",4
"Blu, T","Unser, M",4
"Kolesnikov, A","Zhai, XH",4
"Beyer, L","Kolesnikov, A",4
"Beyer, L","Zhai, XH",4
"Zhai, XH","Kolesnikov, A",4
"Zhai, XH","Beyer, L",4
"He, KM","Xie, SN",4
"Xu, L","Jia, JY",4
"Weiss, Y","Freeman, WT",4
"Chen, B","Howard, A",4
"Huang, GB","Saratchandran, P",4
"Huang, GB","Sundararajan, N",4
"Wu, XL","Zhang, L",4
"Malik, J","Girshick, R",4
"Yuille, A","Chen, LC",4
"Shen, CH","van den Hengel, A",4
"Romero, C","Ventura, S",4
"Weinberger, KQ","Pleiss, G",4
"Zhang, Z","Lin, S",4
"Shen, XY","Jia, JY",4
"Li, X","Shi, GM",4
"Herrera, F","Galar, M",4
"Girshick, R","Kirillov, A",4
"Zhu, YK","Chen, LC",4
"Lin, TY","Ghiasi, G",4
"Peng, C","Yu, G",4
"Yan, SC","Chen, YP",4
"Ventura, S","Romero, C",4
"Tang, XO","Dong, C",4
"Gao, CX","Sang, N",4
"Sang, N","Gao, CX",4
"Lin, TY","Dollár, P",4
"Tian, Z","Chen, H",4
